Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Jul 22, 2019",100000 - 200000,1,63,0,239,185,"Action,Adventure,Casual,Indie"
"Mar 16, 2016",0 - 20000,0,0,0,53,34,"Adventure,Indie"
"Oct 26, 2018",0 - 20000,0,0,0,17,9,"Adventure,Casual,Indie,RPG"
"Feb 3, 2022",0 - 20000,7,0,0,118,89,"Casual,Free to Play,Indie,Massively Multiplayer,Racing,Simulation"
"Jun 27, 2017",0 - 20000,0,0,0,22,2,"Adventure,Casual,Indie"
"Jun 2, 2022",0 - 20000,0,0,0,0,2,Indie
"May 6, 2022",50000 - 100000,1,0,0,12,2,Indie
"Sep 12, 2021",0 - 0,0,0,0,0,0,"Action,Free to Play,Indie"
"Jan 4, 2021",0 - 20000,0,0,0,12,0,"Casual,Indie,Strategy"
"Jul 14, 2021",0 - 20000,0,0,0,15,2,"Action,Indie"
"Jan 5, 2021",0 - 20000,0,0,0,4,0,"Education,Utilities,Video Production,Early Access"
"Apr 5, 2019",0 - 20000,0,0,0,96,67,"Action,Early Access"
"Nov 16, 2021",200000 - 500000,284,80,0,7480,875,"Indie,RPG"
"Jun 9, 2022",0 - 20000,0,0,0,3,0,Action
"Aug 8, 2019",0 - 20000,12,0,0,563,54,"Adventure,Casual,Indie,RPG,Early Access"
"May 6, 2022",0 - 20000,0,0,0,1,1,"Action,Adventure,Casual,Indie,Strategy,Early Access"
"Jul 4, 2013",100000 - 200000,4,79,0,425,102,"Racing,Sports"
"Jan 11, 2022",0 - 20000,5,0,0,254,85,"Action,Indie,Simulation,Strategy,Early Access"
"Apr 27, 2017",0 - 20000,0,0,0,127,27,"Casual,Indie"
"Mar 29, 2019",20000 - 50000,0,0,0,52,2,"Adventure,Indie"
